FA_Chain,Total_area,Abundance
27:4,393410337.221552,17.2205811059239
15:1,368225763.187816,16.1181876029239
24:4,204057956.200625,8.93214095460591
20:0,204057956.200625,8.93214095460591
23:0,116133952.600169,5.08348144592979
22:0,108924767.742543,4.76791690478139
30:1,74471675.3560379,3.25981654325587
10:3,74471675.3560379,3.25981654325587
18:0,67665075.7630606,2.96187419335671
21:0,49515365.2640452,2.16741473938125
16:1,47929344.9627404,2.09799055640946
11:4,47929344.9627404,2.09799055640946
25:0,46795546.7821332,2.04836129739002
14:0,43813204.3137224,1.91781650610258
16:0,43226358.370346,1.89212875159168
13:3,39678638.4199629,1.73683593550009
24:0,37608460.0085364,1.64621890827738
15:2,34873359.309741,1.52649652439413
30:3,33536030.606138,1.4679582115264
13:2,33536030.606138,1.4679582115264
17:0,31479672.9412833,1.37794615388574
27:3,29863834.0600734,1.3072167350695
19:0,29283258.3892091,1.28180344649438
21:1,28429322.3562063,1.24442447262336
15:4,26322506.4412219,1.15220372775053
14:1,21697064.912123,0.949736269561456
12:1,13844798.0390352,0.606022376560168
23:1,11077703.7160935,0.484899549558486
26:5,9801150.04023711,0.429021515782343
20:5,6712318.11340076,0.293815407335077
30:5,6163309.68897509,0.269783898230796
