FA_Chain,Total_area,Abundance
16:4,47340259.5839555,9.3889877737387
17:0,42760229.5543051,8.48063098968933
18:0,38970598.5861044,7.72903395283074
16:3,38353425.8088305,7.60663015295649
15:1,38353425.8088305,7.60663015295649
27:3,36305512.4772841,7.20046775755463
14:0,35971119.2941069,7.13414759927784
17:4,29354699.9369021,5.82191397409978
16:0,25186681.4346834,4.99527138485401
18:1,23403777.7800784,4.64166832559843
30:4,20950564.4430817,4.15512283070972
24:4,20276509.0529871,4.02143750933549
18:3,20276509.0529871,4.02143750933549
30:5,16029003.4242971,3.17903024821914
16:2,9278124.76673132,1.84012932678524
19:2,7772927.22076231,1.54160368538901
16:1,7772927.22076231,1.54160368538901
14:1,7772927.22076231,1.54160368538901
15:2,6159497.93860632,1.22161245726552
28:2,6020274.19456585,1.19400022948946
26:5,6020274.19456585,1.19400022948946
18:2,5405218.53136837,1.07201631658571
27:4,4119365.48296669,0.816993242010943
15:0,4119365.48296669,0.816993242010943
29:2,3118626.828125,0.618516869519721
25:5,3118626.828125,0.618516869519721
