Lipid_species,Mean_mz,ppm_of_mz,Number_of_hits,Mean_score,STD_Score,Mean_of_retention_time,STD_of_retention_time,Area
TG +NH4 17:0/15:1/16:3,816.706169922566,0,1,10.9410540257977,0,15.2734,0,115060277.426491
TG +NH4 18:0/16:4/17:4,850.690059588871,0,1,16.7543543267417,0,4.46828333333333,0,88064099.8107062
TG +NH4 18:3/27:3/24:4,1098.94078566911,0,1,16.832705406036,0,9.561,0,60829527.1589611
TG +NH4 14:0/14:0/16:4,760.644775390625,0,1,10.9608779075178,0,12.9753166666667,0,53956678.9411604
TG +NH4 27:3/30:4/30:5,1347.19106623323,0,1,11.2386845471068,0,14.1665833333333,0,48087010.2728912
TG +NH4 16:0/16:0/18:1,850.781925691802,0,1,29.9504695932131,0,16.2287666666667,0,37780022.1520251
TG +NH4 16:0/18:0/18:1,878.814307920001,0,1,37.1317123050062,0,16.4207,0,28847695.9476071
TG +NH4 14:1/16:1/19:2,830.720676287329,0,1,11.050673750815,0,15.3905333333333,0,23318781.6622869
TG +NH4 14:0/16:0/18:1,822.75311937167,0,1,23.7348592261025,0,16.0138833333333,0,20684065.4657725
TG +NH4 14:1/15:2/16:2,772.642812891738,0,1,17.6196619359535,0,7.39316666666667,0,18478493.815819
TG +NH4 28:2/27:3/26:5,1267.12778887655,0,1,14.7293939613485,0,13.2928833333333,0,18060822.5836975
TG +NH4 18:1/18:1/18:2,900.798693411868,0,1,15.4268259602735,0,16.0424333333333,0,16215655.5941051
TG +NH4 27:3/30:4/30:4,1349.20581381869,0,1,11.5890580103709,0,14.14185,0,14764683.0563538
TG +NH4 16:0/17:0/18:1,864.797758295178,0,1,21.5946009751319,0,16.3431666666667,0,13220411.2364237
TG +NH4 14:0/15:0/27:4,928.831175433627,0,1,10.5170976366017,0,15.2916333333333,0,12358096.4489001
TG +NH4 16:2/29:2/25:5,1114.97301044693,0,1,11.1269676255993,0,7.4446,0,9355880.484375
