FA_Chain,Total_area,Abundance
13:1,45225897.160154,11.3736566513159
13:0,45225897.160154,11.3736566513159
14:0,43240177.6563183,10.8742770201618
10:1,43240177.6563183,10.8742770201618
14:3,30788126.0652863,7.74276679496174
13:2,30788126.0652863,7.74276679496174
18:0,26746854.3887618,6.72644563010547
25:3,26309728.3008495,6.61651476417614
20:1,26309728.3008495,6.61651476417614
14:4,21041900.2546529,5.29173247664199
12:1,21041900.2546529,5.29173247664199
11:1,16310873.8907047,4.10194802015412
17:0,8705621.3845266,2.18933741023041
27:3,6331127.88507976,1.59218676249746
21:2,6331127.88507976,1.59218676249746
